id,title,country,activity_status,adf_cycle,High 5,non_sovereign,recipient_country,tfs_eligible,Approval Date,region,sustainable_development_goals,total_disbursements (UA),Signature Date,environmental_safeguards,total_commitments (UA),Planned Completion Date,country_codes,climate_change,total_commitments_nongov (UA),Completion Date,AfDB Sector,gender,afdb_status,activity_scope,sovereign
P-CD-C00-002,Democratic Republic of Congo - Value Chains Development Project to Support The Agricultural Transformation Programme (PADCV-PTA),Democratic Republic of Congo,Ongoing,ADF-16,Feed Africa,FALSE,CD,TRUE,2024-07-17,Central Africa,None,2861816.66,2024-09-28,1,197588000.0,2029-12-31,CD,2,197588000.0,None,Environment,GEN II,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-IA0-003,Democratic Republic of Congo - Governance and Skills Development Support Project for the Agricultural Transformation Program (PAGDC-PTA),Democratic Republic of Congo,Ongoing,ADF-16,Improve Life of People in Africa,FALSE,CD,TRUE,2024-02-14,Central Africa,"2,4,5,8",1346029.75,2024-03-25,2,90000000.0,2029-12-31,CD,2,90000000.0,None,Social,GEN II,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-AA0-022,"Democratic Republic of Congo - Emergency aid for victims of landslides and flooding in Kalehe territory, South Kivu province",Democratic Republic of Congo,Ongoing,None,Feed Africa,FALSE,CD,TRUE,2023-06-16,Central Africa,1,0.0,2023-07-20,2,744634.91,2026-06-30,CD,None,744634.91,None,Agriculture and Rural Development,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-H00-002,Democratic Republic of the Congo - Financial Sector Development and Financial Inclusion Support Project in DRC (PADSFI),Democratic Republic of Congo,Ongoing,ADF-15,Industrialize Africa,FALSE,CD,TRUE,2022-12-01,Central Africa,None,162310.87,2023-01-20,3,9410000.0,2026-12-31,CD,3,9410000.0,None,Finance,GEN III,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-AA0-019,Democratic Republic of Congo - Emergency Food Production Project (PURPA),Democratic Republic of Congo,Ongoing,ADF-15,Feed Africa,FALSE,CD,TRUE,2022-07-15,Central Africa,None,4479585.79,2022-10-03,2,10000000.0,2026-12-31,CD,2,10000000.0,None,Agriculture and Rural Development,GEN III,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-KF0-012,Democratic Republic of Congo - Congolese Economic Recovery Support Project,Democratic Republic of Congo,Ongoing,ADF-15,Improve Life of People in Africa,FALSE,CD,TRUE,2021-12-17,Central Africa,None,6870318.7,2022-03-01,3,20000000.0,2026-12-31,CD,None,20000000.0,None,Multi-Sector,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-E00-006,Democratic Republic of Congo - Project for the Reinforcement of Socio Economic Infrastructure in the Central Region - Phase II - (PRISE II),Democratic Republic of Congo,Ongoing,ADF-15,Improve Life of People in Africa,FALSE,CD,TRUE,2021-12-14,Central Africa,None,21909993.88,2022-03-01,2,50000000.0,2026-12-31,CD,None,50000000.0,None,Water Supply & Sanitation,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-GB0-003,Democratic Republic of Congo - Project to support the preparation of the Democratic Republic of Congo (DRC) component of the Central Africa Fiber Optic Corridor (CAB),Democratic Republic of Congo,Ongoing,None,Integrate Africa,FALSE,CD,TRUE,2021-12-06,Central Africa,None,420695.94000000000,2022-03-22,3,730316.15,2025-12-31,CD,None,730316.15,None,Communications,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-D00-006,"Democratic  Republic  of  Congo- The  Bukavu-Goma  Road  Development  and  Asphalting  Project,  Phase  1, Bukavu-Nyamukubi Section",Democratic Republic of Congo,Ongoing,ADF-15,Integrate Africa,FALSE,CD,TRUE,2021-11-26,Central Africa,None,28440630.190000000,2022-03-01,1,70000000.0,2026-06-30,CD,None,70000000.0,None,Transport,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-AAG-006,Democratic Republic of Congo - Ngandajika Agro-Industrial  Development Support Programme (PRODAN),Democratic Republic of Congo,Ongoing,ADF-15,Feed Africa,FALSE,CD,TRUE,2021-11-19,Central Africa,None,2591633.09,2021-11-25,1,50000000.0,2027-03-31,CD,None,50000000.0,None,Agriculture and Rural Development,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
