Project ID,GEO Loc ID,Place ID,WBG Country Key,GEO Loc Name,GEO Latitude Number,GEO Longitude Number,Admin Unit1 Name,Admin Unit2 Name,id_norm
P161877,209610,PLA0092827,CD,,-3.0,26.0,,,P161877
P161877,214297,PLA0092762,CD,Kanyobagonga,-0.69978,29.17181,,,P161877
P161877,214140,PLA0092763,CD,,-5.35,21.41667,,,P161877
P161877,215523,PLA0092760,CD,Sous-Region du Kabinda,-6.13333,24.48333,,,P161877
P161877,215709,PLA0092829,CD,,1.56667,30.25,,,P161877
P161877,214138,PLA0092825,CD,,-6.18333,23.51667,,,P161877
P161877,2312893,PLA0092761,CD,Mbanga,-1.66667,19.35,,,P161877
P161877,11288214,PLA0092824,CD,,-6.21667,24.66667,,,P161877
P161877,11288213,PLA0092759,CD,,-10.46667,27.81667,,,P161877
P161877,205413,PLA0092758,CD,,-3.16667,28.25,,,P161877
P161877,205253,PLA0092828,CD,,-5.93333,29.2,,,P161877
P161877,206938,PLA0092826,CD,,-0.66667,28.75,,,P161877
P161877,8260604,PLA0092757,CD,Butembo,0.14231,29.28185,,,P161877
P161877,209228,PLA0092756,CD,Mbuji-Mayi,-6.13603,23.58979,,,P161877
P168756,205828,PLA0078987,CD,Sankuru,-4.96667,23.45,,,P168756
P168756,11288213,PLA0079000,CD,Province du Haut-Katanga,-10.46667,27.81667,,,P168756
P168756,11288214,PLA0078989,CD,Lomami,-6.21667,24.66667,,,P168756
P168756,209610,PLA0078988,CD,Province du Maniema,-3.0,26.0,,,P168756
P168756,214140,PLA0078999,CD,Kasai District,-5.35,21.41667,,,P168756
P168756,216141,PLA0078986,CD,Haut-Lomani,-8.73333,25.0,,,P168756
P168756,2313860,PLA0078991,CD,Kwango,-6.542,17.832,,,P168756
P168756,208741,PLA0078992,CD,Mongala,2.06667,21.51667,,,P168756
P168756,2313847,PLA0078997,CD,Kwilu,-5.03333,18.81667,,,P168756
P168756,204697,PLA0078990,CD,Tshuapa,-0.21667,20.86667,,,P168756
P168756,205253,PLA0078993,CD,Tanganika,-5.93333,29.2,,,P168756
P168756,210596,PLA0078998,CD,Kasai-Central,-6.292,22.483,,,P168756
P168756,206938,PLA0078995,CD,Province du Nord-Kivu,-0.66667,28.75,,,P168756
P168756,205413,PLA0078994,CD,South Kivu Province,-3.16667,28.25,,,P168756
P168756,922727,PLA0078996,CD,Lualaba,-10.71667,25.46667,,,P168756
P168756,11288216,PLA0078985,CD,Province du Sud-Ubangi,3.08333,19.35,,,P168756
P169021,214140,PLA0089303,CD,Kasai District,-5.35,21.41667,,,P169021
P169021,2313847,PLA0089300,CD,Kwilu,-5.03333,18.81667,,,P169021
P169021,2317277,PLA0089298,CD,Province du Kongo Central,-5.33333,14.33333,,,P169021
P169021,203312,PLA0089299,CD,Democratic Republic of the Congo,-2.5,23.5,,,P169021
P169021,210596,PLA0089302,CD,Kasai-Central,-6.292,22.483,,,P169021
P169021,206938,PLA0089301,CD,Province du Nord-Kivu,-0.66667,28.75,,,P169021
P170835,2313191,PLA0093831,CD,,-2.591,19.335,,,P170835
P171141,2314302,PLA0089570,CD,Kinshasa,-4.32758,15.31357,,,P171141
P171141,8260579,PLA0089565,CD,Ndjili,-4.41472,15.36597,,,P171141
P171141,8260578,PLA0089568,CD,Kisenso,-4.41667,15.35,,,P171141
P171141,8260577,PLA0089566,CD,Kimbanseke,-4.44028,15.41344,,,P171141
P171141,203312,PLA0089569,CD,Democratic Republic of the Congo,-2.5,23.5,,,P171141
P171141,7701223,PLA0089567,CD,Matete,-4.38484,15.35751,,,P171141
P171141,10941910,PLA0089564,CD,Lemba,-4.39614,15.31911,,,P171141
P171762,203312,PLA0091217,CD,Democratic Republic of the Congo,-2.5,23.5,,,P171762
P172341,2317277,PLA0088150,CD,Province du Kongo Central,-5.33333,14.33333,,,P172341
P172341,2313847,PLA0088151,CD,Kwilu,-5.03333,18.81667,,,P172341
P172341,210596,PLA0088143,CD,Kasai-Central,-6.292,22.483,,,P172341
P172341,11288214,PLA0088147,CD,Lomami,-6.21667,24.66667,,,P172341
P172341,214140,PLA0088149,CD,Kasai District,-5.35,21.41667,,,P172341
P172341,2314302,PLA0088152,CD,Kinshasa,-4.32758,15.31357,,,P172341
P172341,8260563,PLA0088145,CD,North Kivu,-0.65515,29.03398,,,P172341
