Project ID,Level 1,Percentage 1,Level 2,Percentage 2,Level 3,Percentage 3,id_norm
P160320,FY17 - Environment and Natural Resource Management,100.0,,,,,P160320
P160320,> FY17 - Environment and Natural Resource Management,100.0,FY17 - Climate change,100.0,,,P160320
P160320,> FY17 - Environment and Natural Resource Management,100.0,> FY17 - Climate change,100.0,FY17 - Mitigation,100.0,P160320
P161877,FY17 - Environment and Natural Resource Management,47.0,,,,,P161877
P161877,> FY17 - Environment and Natural Resource Management,47.0,FY17 - Climate change,47.0,,,P161877
P161877,> FY17 - Environment and Natural Resource Management,47.0,> FY17 - Climate change,47.0,FY17 - Adaptation,46.0,P161877
P161877,> FY17 - Environment and Natural Resource Management,47.0,> FY17 - Climate change,47.0,FY17 - Mitigation,1.0,P161877
P161877,FY17 - Finance,9.0,,,,,P161877
P161877,> FY17 - Finance,9.0,FY17 - Finance for Development,9.0,,,P161877
P161877,> FY17 - Finance,9.0,> FY17 - Finance for Development,9.0,FY17 - Infrastructure Finance,9.0,P161877
P161877,FY17 - Human Development and Gender,16.0,,,,,P161877
P161877,> FY17 - Human Development and Gender,16.0,FY17 - Gender,16.0,,,P161877
P161877,FY17 - Private Sector Development,9.0,,,,,P161877
P161877,> FY17 - Private Sector Development,9.0,FY17 - Public Private Partnerships,9.0,,,P161877
P161877,FY17 - Urban and Rural Development,89.0,,,,,P161877
P161877,> FY17 - Urban and Rural Development,89.0,FY17 - Disaster Risk Management,89.0,,,P161877
P161877,> FY17 - Urban and Rural Development,89.0,> FY17 - Disaster Risk Management,89.0,FY17 - Disaster Preparedness,9.0,P161877
P161877,> FY17 - Urban and Rural Development,89.0,> FY17 - Disaster Risk Management,89.0,FY17 - Flood and Drought Risk Management,88.0,P161877
P161877,> FY17 - Urban and Rural Development,89.0,FY17 - Road Safety,82.0,,,P161877
P161877,> FY17 - Urban and Rural Development,89.0,FY17 - Rural Development,10.0,,,P161877
P161877,> FY17 - Urban and Rural Development,89.0,> FY17 - Rural Development,10.0,FY17 - Rural Infrastructure and service delivery,10.0,P161877
P161877,> FY17 - Urban and Rural Development,89.0,FY17 - Urban Development,89.0,,,P161877
P161877,> FY17 - Urban and Rural Development,89.0,> FY17 - Urban Development,89.0,FY17 - Public Transport,89.0,P161877
P161877,> FY17 - Urban and Rural Development,89.0,> FY17 - Urban Development,89.0,FY17 - Urban Infrastructure and Service Delivery,88.0,P161877
P168756,FY17 - Environment and Natural Resource Management,3.0,,,,,P168756
P168756,> FY17 - Environment and Natural Resource Management,3.0,FY17 - Climate change,3.0,,,P168756
P168756,> FY17 - Environment and Natural Resource Management,3.0,> FY17 - Climate change,3.0,FY17 - Adaptation,2.0,P168756
P168756,> FY17 - Environment and Natural Resource Management,3.0,> FY17 - Climate change,3.0,FY17 - Mitigation,1.0,P168756
P168756,FY17 - Human Development and Gender,87.0,,,,,P168756
P168756,> FY17 - Human Development and Gender,87.0,FY17 - Health Systems and Policies,56.0,,,P168756
P168756,> FY17 - Human Development and Gender,87.0,> FY17 - Health Systems and Policies,56.0,FY17 - Health Service Delivery,43.0,P168756
P168756,> FY17 - Human Development and Gender,87.0,> FY17 - Health Systems and Policies,56.0,FY17 - Reproductive and Maternal Health,18.0,P168756
